"pill family","route","file path","line","pill visible text","origin of visible text","tooltip text","origin of tooltip text","condition shown","resource type","schema property","schema name","schema description","schema description source","value kind","retrieved","notes"
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Unknown Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Conditions of access information was not found.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Unknown'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Unknown Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Conditions of access information was not found.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Unknown'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Restricted Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource may have conditions that limit access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Restricted'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","remapped to ""Controlled"" before display, so this label is unlikely to render"
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Restricted Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource may have conditions that limit access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Restricted'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","remapped to ""Controlled"" before display, so this label is unlikely to render"
"access badge","/resources","src/components/badges/components/AccessibleForFree.tsx","21","No Cost Access","hardcoded in src/components/badges/components/AccessibleForFree.tsx","The resource is accessible for free.","hardcoded in src/components/badges/components/AccessibleForFree.tsx","isAccessibleForFree === true","(not type-dependent)","isAccessibleForFree","Is Accessible For Free","[Dataset, ComputationalTool, ResourceCatalog] A flag to signal that the work is accessible for free. | [Sample] A flag to signal that the sample may be requested at no cost (not including shipping). | [DataCollection] A flag to signal that the items included in the data collection are accessible for free.","varies by type (3 wordings)","literal","",""
"access badge","/search","src/components/badges/components/AccessibleForFree.tsx","21","No Cost Access","hardcoded in src/components/badges/components/AccessibleForFree.tsx","The resource is accessible for free.","hardcoded in src/components/badges/components/AccessibleForFree.tsx","isAccessibleForFree === true","(not type-dependent)","isAccessibleForFree","Is Accessible For Free","[Dataset, ComputationalTool, ResourceCatalog] A flag to signal that the work is accessible for free. | [Sample] A flag to signal that the sample may be requested at no cost (not including shipping). | [DataCollection] A flag to signal that the items included in the data collection are accessible for free.","varies by type (3 wordings)","literal","",""
"access badge","/resources","src/components/badges/components/AccessibleForFree.tsx","21","Paid  Access","hardcoded in src/components/badges/components/AccessibleForFree.tsx","The resource is not accessible for free.","hardcoded in src/components/badges/components/AccessibleForFree.tsx","isAccessibleForFree === false","(not type-dependent)","isAccessibleForFree","Is Accessible For Free","[Dataset, ComputationalTool, ResourceCatalog] A flag to signal that the work is accessible for free. | [Sample] A flag to signal that the sample may be requested at no cost (not including shipping). | [DataCollection] A flag to signal that the items included in the data collection are accessible for free.","varies by type (3 wordings)","literal","","DOUBLE SPACE between ""Paid"" and ""Access"" in the source"
"access badge","/search","src/components/badges/components/AccessibleForFree.tsx","21","Paid  Access","hardcoded in src/components/badges/components/AccessibleForFree.tsx","The resource is not accessible for free.","hardcoded in src/components/badges/components/AccessibleForFree.tsx","isAccessibleForFree === false","(not type-dependent)","isAccessibleForFree","Is Accessible For Free","[Dataset, ComputationalTool, ResourceCatalog] A flag to signal that the work is accessible for free. | [Sample] A flag to signal that the sample may be requested at no cost (not including shipping). | [DataCollection] A flag to signal that the items included in the data collection are accessible for free.","varies by type (3 wordings)","literal","","DOUBLE SPACE between ""Paid"" and ""Access"" in the source"
"access badge","/resources","src/components/badges/components/CreativeWorkStatus.tsx","26","Retired","hardcoded in src/components/badges/components/CreativeWorkStatus.tsx","The resource is no longer available.","hardcoded in src/components/badges/components/CreativeWorkStatus.tsx","creativeWorkStatus === 'Retired'","(not type-dependent)","creativeWorkStatus","Creative Work Status","[Dataset, DataCollection] The status of the Dataset. Expected to be one of the following values: Draft (The dataset is not yet ready), Active (The dataset is currently working and available), Retired (The dataset is no longer available). | [ComputationalTool] The status of the ComputationalTool. Expected to be one of the following values: Draft (The tool is under development), Active (The tool is currently working and available), Maintenance (The tool is temporarily unavailable for maintenance), Accepting Data (The tool is Active AND Accepting submissions), Not Accepting Data (The tool is Active but is NOT Accepting submissions), Retired (The tool is no longer being maintained). | [ResourceCatalog] The status of the ResourceCatalog. Expected to be one of the following values: Draft (The resources is under development), Active (The resource is currently working and available), Maintenance (The resource is temporarily unavailable for maintenance), Accepting Data (The resource is Active AND Accepting submissions), Not Accepting Data (The resource is Active but is NOT Accepting submissions), Retired (The resource is no longer available). | [Sample] The status of the Sample. Expected to be one of the following values: Bespoke (The sample is made-to-order), Available (The sample is currently available), Backordered (The sample is temporarily unavailable or out-of-stock), Retired (The sample is no longer available).","varies by type (4 wordings)","literal","","gated behind the SHOW_RETIRED_RESOURCE_CATALOG_UI feature flag; no other creativeWorkStatus value renders a badge"
"access badge","/search","src/components/badges/components/CreativeWorkStatus.tsx","26","Retired","hardcoded in src/components/badges/components/CreativeWorkStatus.tsx","The resource is no longer available.","hardcoded in src/components/badges/components/CreativeWorkStatus.tsx","creativeWorkStatus === 'Retired'","(not type-dependent)","creativeWorkStatus","Creative Work Status","[Dataset, DataCollection] The status of the Dataset. Expected to be one of the following values: Draft (The dataset is not yet ready), Active (The dataset is currently working and available), Retired (The dataset is no longer available). | [ComputationalTool] The status of the ComputationalTool. Expected to be one of the following values: Draft (The tool is under development), Active (The tool is currently working and available), Maintenance (The tool is temporarily unavailable for maintenance), Accepting Data (The tool is Active AND Accepting submissions), Not Accepting Data (The tool is Active but is NOT Accepting submissions), Retired (The tool is no longer being maintained). | [ResourceCatalog] The status of the ResourceCatalog. Expected to be one of the following values: Draft (The resources is under development), Active (The resource is currently working and available), Maintenance (The resource is temporarily unavailable for maintenance), Accepting Data (The resource is Active AND Accepting submissions), Not Accepting Data (The resource is Active but is NOT Accepting submissions), Retired (The resource is no longer available). | [Sample] The status of the Sample. Expected to be one of the following values: Bespoke (The sample is made-to-order), Available (The sample is currently available), Backordered (The sample is temporarily unavailable or out-of-stock), Retired (The sample is no longer available).","varies by type (4 wordings)","literal","","gated behind the SHOW_RETIRED_RESOURCE_CATALOG_UI feature flag; no other creativeWorkStatus value renders a badge"
"access badge","/resources","src/components/badges/components/HasAPI.tsx","19","API Available","hardcoded in src/components/badges/components/HasAPI.tsx","The resource supports programmatic access to data.","hardcoded in src/components/badges/components/HasAPI.tsx","hasAPI is truthy","(not type-dependent)","hasAPI","Has API","[ResourceCatalog] The resource has an API through which important content may be accessed.","ResourceCatalog only","literal","",""
"access badge","/search","src/components/badges/components/HasAPI.tsx","19","API Available","hardcoded in src/components/badges/components/HasAPI.tsx","The resource supports programmatic access to data.","hardcoded in src/components/badges/components/HasAPI.tsx","hasAPI is truthy","(not type-dependent)","hasAPI","Has API","[ResourceCatalog] The resource has an API through which important content may be accessed.","ResourceCatalog only","literal","",""
"access badge","/resources","src/components/badges/components/HasAPI.tsx","19","API Not Available","hardcoded in src/components/badges/components/HasAPI.tsx","The resource does not support programmatic access to data.","hardcoded in src/components/badges/components/HasAPI.tsx","hasAPI is falsy","(not type-dependent)","hasAPI","Has API","[ResourceCatalog] The resource has an API through which important content may be accessed.","ResourceCatalog only","literal","",""
"access badge","/search","src/components/badges/components/HasAPI.tsx","19","API Not Available","hardcoded in src/components/badges/components/HasAPI.tsx","The resource does not support programmatic access to data.","hardcoded in src/components/badges/components/HasAPI.tsx","hasAPI is falsy","(not type-dependent)","hasAPI","Has API","[ResourceCatalog] The resource has an API through which important content may be accessed.","ResourceCatalog only","literal","",""
"access badge","/resources","src/components/badges/components/HasDownload.tsx","57","Has Download: All content","hardcoded in src/components/badges/components/HasDownload.tsx prefix + the raw hasDownload value from the NDE API","The resource allows download of all content.","getTooltipLabel() in src/components/badges/components/HasDownload.tsx","hasDownload.toLowerCase() === 'all content'","(not type-dependent)","hasDownload","Has Download","[ResourceCatalog] The resource provides downloads of its contents. Options: All content (e.g. entire data builds, tools, etc.), Partial content (just data, or just tools, etc.), Record-level (individual records, or selections of records), Aggregate data (aggregations or analyses of the data are downloadable, but not the data itself), No downloads (information is viewable but not downloadable, users must resort to copy/paste, screenshots, etc.), Prohibited (downloading, copy/pasting, screenshotting the data is prohibited).","ResourceCatalog only","literal","","the only pill family with a prefix in its label; an unrecognised value yields an empty tooltip"
"access badge","/resources","src/components/badges/components/HasDownload.tsx","57","Has Download: Partial content","hardcoded in src/components/badges/components/HasDownload.tsx prefix + the raw hasDownload value from the NDE API","The resource allows download of part of the content.","getTooltipLabel() in src/components/badges/components/HasDownload.tsx","hasDownload.toLowerCase() === 'partial content'","(not type-dependent)","hasDownload","Has Download","[ResourceCatalog] The resource provides downloads of its contents. Options: All content (e.g. entire data builds, tools, etc.), Partial content (just data, or just tools, etc.), Record-level (individual records, or selections of records), Aggregate data (aggregations or analyses of the data are downloadable, but not the data itself), No downloads (information is viewable but not downloadable, users must resort to copy/paste, screenshots, etc.), Prohibited (downloading, copy/pasting, screenshotting the data is prohibited).","ResourceCatalog only","literal","","the only pill family with a prefix in its label; an unrecognised value yields an empty tooltip"
"access badge","/resources","src/components/badges/components/HasDownload.tsx","57","Has Download: Record-level","hardcoded in src/components/badges/components/HasDownload.tsx prefix + the raw hasDownload value from the NDE API","The resource allows download of individual records, or selections of records.","getTooltipLabel() in src/components/badges/components/HasDownload.tsx","hasDownload.toLowerCase() === 'record-level'","(not type-dependent)","hasDownload","Has Download","[ResourceCatalog] The resource provides downloads of its contents. Options: All content (e.g. entire data builds, tools, etc.), Partial content (just data, or just tools, etc.), Record-level (individual records, or selections of records), Aggregate data (aggregations or analyses of the data are downloadable, but not the data itself), No downloads (information is viewable but not downloadable, users must resort to copy/paste, screenshots, etc.), Prohibited (downloading, copy/pasting, screenshotting the data is prohibited).","ResourceCatalog only","literal","","the only pill family with a prefix in its label; an unrecognised value yields an empty tooltip"
"access badge","/resources","src/components/badges/components/HasDownload.tsx","57","Has Download: No downloads","hardcoded in src/components/badges/components/HasDownload.tsx prefix + the raw hasDownload value from the NDE API","Content is not downloadable.","getTooltipLabel() in src/components/badges/components/HasDownload.tsx","hasDownload.toLowerCase() === 'no downloads'","(not type-dependent)","hasDownload","Has Download","[ResourceCatalog] The resource provides downloads of its contents. Options: All content (e.g. entire data builds, tools, etc.), Partial content (just data, or just tools, etc.), Record-level (individual records, or selections of records), Aggregate data (aggregations or analyses of the data are downloadable, but not the data itself), No downloads (information is viewable but not downloadable, users must resort to copy/paste, screenshots, etc.), Prohibited (downloading, copy/pasting, screenshotting the data is prohibited).","ResourceCatalog only","literal","","the only pill family with a prefix in its label; an unrecognised value yields an empty tooltip"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Funding","hardcoded label: in src/components/metadata/helpers.ts, wired to 'funding' by the switch in generateMetadataContent","Funding that supports (sponsors) the collection of this dataset through some kind of financial contribution.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has funding data and @type is Dataset, Sample","Dataset, Sample","funding","Funding","Funding that supports (sponsors) the collection of this dataset through some kind of financial contribution.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Funding","hardcoded label: in src/components/metadata/helpers.ts, wired to 'funding' by the switch in generateMetadataContent","Funding that supports (sponsors) the development of this computational tool through some kind of financial contribution.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has funding data and @type is ComputationalTool","ComputationalTool","funding","Funding","Funding that supports (sponsors) the development of this computational tool through some kind of financial contribution.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Funding","hardcoded label: in src/components/metadata/helpers.ts, wired to 'funding' by the switch in generateMetadataContent","Funding that supports (sponsors) the creation or maintenance of the resource catalog through some kind of financial contribution.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has funding data and @type is ResourceCatalog","ResourceCatalog","funding","Funding","Funding that supports (sponsors) the creation or maintenance of the resource catalog through some kind of financial contribution.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Funding","hardcoded label: in src/components/metadata/helpers.ts, wired to 'funding' by the switch in generateMetadataContent","Funding that supports (sponsors) the creation of the records included in the data collection through some kind of financial contribution.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has funding data and @type is DataCollection","DataCollection","funding","Funding","Funding that supports (sponsors) the creation of the records included in the data collection through some kind of financial contribution.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Funding","hardcoded label: in src/components/metadata/helpers.ts, wired to 'funding'","No funding data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO funding data (isDisabled)","(not type-dependent)","funding","Funding","[Dataset, Sample] Funding that supports (sponsors) the collection of this dataset through some kind of financial contribution. | [ComputationalTool] Funding that supports (sponsors) the development of this computational tool through some kind of financial contribution. | [ResourceCatalog] Funding that supports (sponsors) the creation or maintenance of the resource catalog through some kind of financial contribution. | [DataCollection] Funding that supports (sponsors) the creation of the records included in the data collection through some kind of financial contribution.","varies by type (4 wordings)","literal","","empty state - the schema description is not shown"
