"route","file path","line","element / component","attribute","label copy","label source","scope","value kind","retrieved"
"/saved","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/search","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/settings","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/sources","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/diseases","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/diseases/[slug]","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/features","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/features/[slug]","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/knowledge-center","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/knowledge-center/[...slug]","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/program-collections","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/program-collections","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/repository-matcher","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/repository-matcher","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/resources","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/resources","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/saved","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/saved","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/search","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/search","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/settings","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/settings","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/sources","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/sources","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/diseases","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/diseases","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/diseases/[slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/diseases/[slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/features","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/features","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/features/[slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/features/[slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/knowledge-center","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/knowledge-center","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/knowledge-center/[...slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Open navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/knowledge-center/[...slug]","src/components/navigation-bar/components/nav-layout.tsx","63","IconButton (menu toggle)","aria-label","Close navigation menu","both branches of a conditional hardcoded in JSX","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/program-collections","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/repository-matcher","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/resources","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/saved","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/search","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/settings","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/sources","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/diseases","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/diseases/[slug]","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/features","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/features/[slug]","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/knowledge-center","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/knowledge-center/[...slug]","src/components/navigation-bar/components/nav-dropdown-item.tsx","63","Icon (external link)","aria-label","Opens in new tab","hardcoded in JSX","global (nav bar)","literal",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/404","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/about","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/advanced-search","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/changelog","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/disclaimer","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/faq","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/login","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/updates","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close Search dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Close About dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
"/ontology-browser","src/components/navigation-bar/components/nav-dropdown-item.tsx","129","dropdown toggle Button","aria-label","Open Resources dropdown","template in JSX + the dropdown labels in configs/site.config.json navigation.primary","global (nav bar)","value (resolved)",""
